station_code,measurement_time,so2,pm10,nox,o3,tolueno,benceno,etilbenceno,co,no,no2,pm25,station_name,station_type,station_district,station_latitude,station_longitude,hour,day_of_week,month,is_weekend,is_rush_hour,weather_temperature_c,weather_humidity,weather_wind_speed_kmh,weather_code,weather_description,weather_forecast_time,weather_precipitation_mm,weather_cloud_cover,weather_precipitation_probability,wind_no2_synergy,wind_o3_synergy,wind_pm10_synergy,wind_pm25_synergy,wind_strong,wind_weak,temp_o3_synergy,air_quality_index,running_suitability_preliminary,is_traffic_station,is_suburban_station,precipitation_risk,high_precipitation_risk
4,2025-12-06 00:00:00,,6.0,22.0,,,,,0.3,6.0,14.0,4.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,0,5,12,1,0,11.4,90.0,9.0,2,Parcialmente nublado,2025-12-06 20:00:00,0.0,56,0,0.6,9.0,1.2857142857142858,1.8,0,0,0.0,5.800000000000001,97.1,1,0,0,0
4,2025-12-06 01:00:00,,6.0,20.0,,,,,0.2,5.0,12.0,5.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,1,5,12,1,0,11.4,90.0,9.0,2,Parcialmente nublado,2025-12-06 20:00:00,0.0,56,0,0.6923076923076923,9.0,1.2857142857142858,1.5,0,0,0.0,5.45,97.275,1,0,0,0
4,2025-12-06 02:00:00,,4.0,14.0,,,,,0.2,4.0,9.0,4.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,2,5,12,1,0,11.4,90.0,9.0,2,Parcialmente nublado,2025-12-06 20:00:00,0.0,56,0,0.9,9.0,1.8,1.8,0,0,0.0,4.05,97.975,1,0,0,0
4,2025-12-06 03:00:00,,3.0,12.0,,,,,0.2,3.0,7.0,3.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,3,5,12,1,0,11.4,90.0,9.0,2,Parcialmente nublado,2025-12-06 20:00:00,0.0,56,0,1.125,9.0,2.25,2.25,0,0,0.0,3.1000000000000005,98.45,1,0,0,0
4,2025-12-06 04:00:00,,2.0,9.0,,,,,0.1,3.0,5.0,2.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,4,5,12,1,0,12.0,87.0,9.3,2,Parcialmente nublado,2025-12-06 19:00:00,0.0,65,0,1.55,9.3,3.1,3.1,0,0,0.0,2.1999999999999997,98.9,1,0,0,0
4,2025-12-06 05:00:00,,2.0,8.0,,,,,0.1,3.0,4.0,1.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,5,5,12,1,0,11.4,90.0,9.0,2,Parcialmente nublado,2025-12-06 20:00:00,0.0,56,0,1.8,9.0,3.0,4.5,0,0,0.0,1.75,99.125,1,0,0,0
4,2025-12-06 06:00:00,,2.0,8.0,,,,,0.1,3.0,4.0,1.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,6,5,12,1,0,12.0,87.0,9.3,2,Parcialmente nublado,2025-12-06 19:00:00,0.0,65,0,1.86,9.3,3.1,4.65,0,0,0.0,1.75,99.125,1,0,0,0
4,2025-12-06 07:00:00,,8.0,8.0,,,,,0.1,3.0,4.0,6.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,7,5,12,1,1,12.9,81.0,10.9,3,Cielo cubierto,2025-12-06 18:00:00,0.0,84,0,2.18,10.9,1.2111111111111112,1.5571428571428572,0,0,0.0,3.95,98.025,1,0,0,0
4,2025-12-06 08:00:00,,14.0,11.0,,,,,0.1,3.0,7.0,10.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,8,5,12,1,1,11.4,90.0,9.0,2,Parcialmente nublado,2025-12-06 20:00:00,0.0,56,0,1.125,9.0,0.6,0.8181818181818182,0,0,0.0,6.700000000000001,96.65,1,0,0,0
4,2025-12-06 09:00:00,,14.0,12.0,,,,,0.1,3.0,7.0,10.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,9,5,12,1,1,11.4,90.0,9.0,2,Parcialmente nublado,2025-12-06 20:00:00,0.0,56,0,1.125,9.0,0.6,0.8181818181818182,0,0,0.0,6.700000000000001,96.65,1,0,0,0
4,2025-12-06 10:00:00,,4.0,12.0,,,,,0.1,3.0,7.0,2.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,10,5,12,1,0,11.4,90.0,9.0,2,Parcialmente nublado,2025-12-06 20:00:00,0.0,56,0,1.125,9.0,1.8,3.0,0,0,0.0,3.1,98.45,1,0,0,0
4,2025-12-06 11:00:00,,13.0,14.0,,,,,0.2,4.0,9.0,9.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,11,5,12,1,0,12.9,81.0,10.9,3,Cielo cubierto,2025-12-06 18:00:00,0.0,84,0,1.09,10.9,0.7785714285714286,1.09,0,0,0.0,6.85,96.575,1,0,0,0
4,2025-12-06 12:00:00,,18.0,19.0,,,,,0.2,5.0,12.0,10.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,12,5,12,1,0,11.4,90.0,9.0,2,Parcialmente nublado,2025-12-06 20:00:00,0.0,56,0,0.6923076923076923,9.0,0.4736842105263157,0.8181818181818182,0,0,0.0,8.85,95.575,1,0,0,0
4,2025-12-06 13:00:00,,17.0,17.0,,,,,0.2,4.0,11.0,10.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,13,5,12,1,0,11.4,90.0,9.0,2,Parcialmente nublado,2025-12-06 20:00:00,0.0,56,0,0.75,9.0,0.5,0.8181818181818182,0,0,0.0,8.35,95.825,1,0,0,0
4,2025-12-06 14:00:00,,12.0,19.0,,,,,0.2,5.0,12.0,6.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,14,5,12,1,0,12.9,81.0,10.9,3,Cielo cubierto,2025-12-06 18:00:00,0.0,84,0,0.8384615384615385,10.9,0.8384615384615385,1.5571428571428572,0,0,0.0,6.8500000000000005,96.575,1,0,0,0
4,2025-12-06 15:00:00,,9.0,18.0,,,,,0.2,4.0,12.0,5.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,15,5,12,1,0,11.4,90.0,9.0,2,Parcialmente nublado,2025-12-06 20:00:00,0.0,56,0,0.6923076923076923,9.0,0.9,1.5,0,0,0.0,6.0,97.0,1,0,0,0
4,2025-12-06 16:00:00,,9.0,23.0,,,,,0.2,6.0,14.0,5.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,16,5,12,1,0,11.4,90.0,9.0,2,Parcialmente nublado,2025-12-06 20:00:00,0.0,56,0,0.6,9.0,0.9,1.5,0,0,0.0,6.6000000000000005,96.7,1,0,0,0
4,2025-12-06 17:00:00,,8.0,21.0,,,,,0.2,5.0,15.0,4.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,17,5,12,1,0,11.4,90.0,9.0,2,Parcialmente nublado,2025-12-06 20:00:00,0.0,56,0,0.5625,9.0,1.0,1.8,0,0,0.0,6.3999999999999995,96.8,1,0,0,0
4,2025-12-06 18:00:00,,9.0,20.0,,,,,0.2,5.0,13.0,4.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,18,5,12,1,1,11.4,90.0,9.0,2,Parcialmente nublado,2025-12-06 20:00:00,0.0,56,0,0.6428571428571429,9.0,0.9,1.8,0,0,0.0,6.1,96.95,1,0,0,0
4,2025-12-06 19:00:00,,11.0,35.0,,,,,0.3,9.0,21.0,5.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,19,5,12,1,1,11.4,90.0,9.0,2,Parcialmente nublado,2025-12-06 20:00:00,0.0,56,0,0.4090909090909091,9.0,0.75,1.5,0,0,0.0,8.899999999999999,95.55,1,0,0,0
4,2025-12-07 00:00:00,,5.0,18.0,,,,,0.2,5.0,11.0,3.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,0,6,12,1,0,11.8,78.0,5.4,2,Parcialmente nublado,2025-12-07 12:00:00,0.0,70,0,0.45,5.4,0.9,1.35,0,0,0.0,4.6,97.7,1,0,0,0
4,2025-12-07 01:00:00,,6.0,11.0,,,,,0.1,3.0,7.0,4.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,1,6,12,1,0,13.1,72.0,6.3,2,Parcialmente nublado,2025-12-07 13:00:00,0.0,71,0,0.7875,6.3,0.9,1.26,0,0,0.0,3.9,98.05,1,0,0,0
4,2025-12-07 02:00:00,,5.0,9.0,,,,,0.1,3.0,5.0,3.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,2,6,12,1,0,10.1,89.0,2.9,2,Parcialmente nublado,2025-12-07 10:00:00,0.0,51,0,0.4833333333333333,2.9,0.4833333333333333,0.725,0,1,0.0,3.0,93.5,1,0,0,0
4,2025-12-07 03:00:00,,6.0,8.0,,,,,0.1,3.0,4.0,4.0,Escuelas Aguirre,Tráfico,Retiro,40.414,-3.68,3,6,12,1,0,13.1,72.0,6.3,2,Parcialmente nublado,2025-12-07 13:00:00,0.0,71,0,1.26,6.3,0.9,1.26,0,0,0.0,3.15,98.425,1,0,0,0
